id,round,page_name,time_spent,time_entered,time_done
DiOc,6,S3,4,2021-02-01T14:27:00Z,2021-02-01T14:27:04Z
DiOc,7,S2,21,2021-02-01T14:27:04Z,2021-02-01T14:27:25Z
DiOc,7,S3,2,2021-02-01T14:27:25Z,2021-02-01T14:27:27Z
DiOc,8,S2,18,2021-02-01T14:27:27Z,2021-02-01T14:27:45Z
DiOc,8,S3,2,2021-02-01T14:27:45Z,2021-02-01T14:27:47Z
DiOc,9,S2,5,2021-02-01T14:27:47Z,2021-02-01T14:27:52Z
DiOc,9,S3,2,2021-02-01T14:27:52Z,2021-02-01T14:27:54Z
DiOc,10,S2,10,2021-02-01T14:27:54Z,2021-02-01T14:28:04Z
DiOc,10,S3,4,2021-02-01T14:28:04Z,2021-02-01T14:28:08Z
DiOc,10,S4,442,2021-02-01T14:28:08Z,2021-02-01T14:35:30Z
dMJ3,1,S1,7,2021-02-01T20:22:01Z,2021-02-01T20:22:08Z
dMJ3,1,S2,25,2021-02-01T20:22:08Z,2021-02-01T20:22:33Z
dMJ3,1,S3,10,2021-02-01T20:22:33Z,2021-02-01T20:22:43Z
dMJ3,2,S2,23,2021-02-01T20:22:43Z,2021-02-01T20:23:06Z
dMJ3,2,S3,4,2021-02-01T20:23:06Z,2021-02-01T20:23:10Z
dMJ3,3,S2,15,2021-02-01T20:23:10Z,2021-02-01T20:23:25Z
dMJ3,3,S3,2,2021-02-01T20:23:25Z,2021-02-01T20:23:27Z
dMJ3,4,S2,22,2021-02-01T20:23:27Z,2021-02-01T20:23:49Z
dMJ3,4,S3,10,2021-02-01T20:23:49Z,2021-02-01T20:23:59Z
dMJ3,5,S2,13,2021-02-01T20:23:59Z,2021-02-01T20:24:12Z
dMJ3,5,S3,7,2021-02-01T20:24:12Z,2021-02-01T20:24:19Z
dMJ3,6,S2,20,2021-02-01T20:24:19Z,2021-02-01T20:24:39Z
dMJ3,6,S3,2,2021-02-01T20:24:39Z,2021-02-01T20:24:41Z
dMJ3,7,S2,28,2021-02-01T20:24:41Z,2021-02-01T20:25:09Z
dMJ3,7,S3,1,2021-02-01T20:25:09Z,2021-02-01T20:25:10Z
dMJ3,8,S2,11,2021-02-01T20:25:10Z,2021-02-01T20:25:21Z
dMJ3,8,S3,2,2021-02-01T20:25:21Z,2021-02-01T20:25:23Z
dMJ3,9,S2,20,2021-02-01T20:25:23Z,2021-02-01T20:25:43Z
dMJ3,9,S3,2,2021-02-01T20:25:43Z,2021-02-01T20:25:45Z
dMJ3,10,S2,50,2021-02-01T20:25:45Z,2021-02-01T20:26:35Z
dMJ3,10,S3,8,2021-02-01T20:26:35Z,2021-02-01T20:26:43Z
dMJ3,10,S4,32,2021-02-01T20:26:43Z,2021-02-01T20:27:15Z
Ej3r,1,S1,206,2021-02-03T15:12:49Z,2021-02-03T15:16:15Z
Ej3r,1,S2,69,2021-02-03T15:16:15Z,2021-02-03T15:17:24Z
Ej3r,1,S3,41,2021-02-03T15:17:24Z,2021-02-03T15:18:05Z
Ej3r,2,S2,55,2021-02-03T15:18:05Z,2021-02-03T15:19:00Z
Ej3r,2,S3,36,2021-02-03T15:19:00Z,2021-02-03T15:19:36Z
Ej3r,3,S2,37,2021-02-03T15:19:36Z,2021-02-03T15:20:13Z
Ej3r,3,S3,74,2021-02-03T15:20:13Z,2021-02-03T15:21:27Z
