id,round,cost,offer,accepted,asked_invalid_budget,budget,wealth,profit
u6XB,1,4.6,NA,NA,0,6000,2400,-1000
u6XB,2,5.1,NA,NA,0,6000,4300,-2000
u6XB,3,5.9,NA,NA,0,6000,5400,-3000
u6XB,4,4,NA,NA,0,6000,8400,-4000
u6XB,5,4.8,NA,NA,0,6000,10600,-5000
u6XB,6,4,NA,NA,0,6000,13600,-6000
u6XB,7,5.9,NA,NA,0,6000,14700,-7000
u6XB,8,5.6,NA,NA,0,6000,16100,-8000
u6XB,9,4.4,NA,NA,0,6000,18700,-9000
u6XB,10,5.2,NA,NA,0,6000,20500,-10000
vW49,1,4.7,4000,FALSE,0,4700,1000,300
vW49,2,4.1,4800,TRUE,0,4800,2700,500
vW49,3,4.4,5500,TRUE,0,5500,4800,0
vW49,4,4.2,4700,TRUE,0,4700,6300,300
vW49,5,5.7,4900,FALSE,0,6000,7600,-700
vW49,6,4.8,4400,FALSE,0,6000,9800,-1700
vW49,7,4.5,6000,TRUE,0,6000,12300,-2700
vW49,8,5.5,5400,FALSE,0,6000,13800,-3700
vW49,9,4.3,5600,FALSE,0,6000,16500,-4700
vW49,10,5.3,5800,FALSE,0,6000,18200,-5700
y3pC,1,5.4,NA,NA,0,6000,1600,-1000
y3pC,2,5.4,NA,NA,0,5900,3100,-1900
y3pC,3,4.5,NA,NA,0,6000,5600,-2900
y3pC,4,4.4,NA,NA,0,6000,8200,-3900
y3pC,5,5.2,NA,NA,0,6000,10000,-4900
y3pC,6,4.5,NA,NA,0,6000,12500,-5900
y3pC,7,5.5,NA,NA,0,6000,14000,-6900
y3pC,8,5.4,NA,NA,0,6000,15600,-7900
y3pC,9,4.2,NA,NA,0,6000,18400,-8900
y3pC,10,5,NA,NA,0,6000,20400,-9900
